iou,dice,map,count_error,tp50,fp50,fn50,recall_fundo,recall_interior,recall_fronteira,train_seconds,final_loss,loss_config,gamma,balanced,seed
0.5498257542899948,0.6844425835702381,0.0,49.55223880597015,0,0,6640,0.981948544241747,0.0,0.7222370829596257,592.3023719787598,0.35327915934955373,CE,,False,42
0.7506156111173858,0.8448049263120893,0.13580183545021424,34.82089552238806,1599,403,5041,0.9835107562356242,0.6538860337210302,0.6933058497107365,550.2394926548004,0.3718150407075882,CE,,False,43
0.48647109694647744,0.6199274515224178,0.07761572350456186,30.223880597014926,1740,1550,4900,0.7747652541399416,0.8013329125717489,0.8614647092452974,459.63919615745544,0.5468455956262701,CE balanceada,,True,42
0.6669969568820467,0.7908917536204582,0.11481074079217675,27.78358208955224,2126,795,4514,0.9366705757584658,0.7562287740810811,0.8550658505499302,456.4566082954407,0.5934807360172272,CE balanceada,,True,43
0.5498257542899948,0.6844425835702381,0.0,49.55223880597015,0,0,6640,0.981948544241747,0.0,0.7222370829596257,380.0965061187744,0.35327915409032035,Focal gamma=0,0.0,False,42
0.7506156111173858,0.8448049263120893,0.13580183545021424,34.82089552238806,1599,403,5041,0.9835107562356242,0.6538860337210302,0.6933058497107365,385.34166622161865,0.3718150345718159,Focal gamma=0,0.0,False,43
0.49756009445558425,0.6368271269691416,0.0,49.55223880597015,0,0,6640,0.9877015875899242,0.3149550686742981,0.5834500338300286,392.69827461242676,0.2522621273117907,Focal gamma=1,1.0,False,42
0.7447931133418485,0.8394473802471829,0.10803951572671418,38.02985074626866,1262,284,5378,0.9875519913661603,0.6808748835392009,0.644155271977716,384.14671087265015,0.27270832351025415,Focal gamma=1,1.0,False,43
0.5593184945451596,0.7048963395575367,0.0,49.55223880597015,0,0,6640,0.970842627443961,0.5808763862591247,0.6713818912298887,386.1723380088806,0.2004508253406076,Focal gamma=2,2.0,False,42
0.734248594651334,0.8341626197207085,0.08804685291521193,39.791044776119406,1113,195,5527,0.9877245612957165,0.6352523066750771,0.634279000729047,386.03846740722656,0.2301433594787822,Focal gamma=2,2.0,False,43
0.7168586151554808,0.8231967169046642,0.04570289551580124,44.47014925373134,597,84,6043,0.9887941742956283,0.6461770805157286,0.6115210926313439,388.8714361190796,0.13661708836169803,Focal gamma=5,5.0,False,42
0.6842041004919286,0.7976703383996622,0.05979397430289561,38.985074626865675,1113,357,5527,0.9847582818873696,0.46327352508039205,0.5680665481304289,388.25601744651794,0.16822613819557078,Focal gamma=5,5.0,False,43
0.6269239027625958,0.7589813023491654,0.09095469222251147,28.87313432835821,1993,804,4647,0.9156442922362227,0.7815571183842698,0.874272916568319,387.73037934303284,0.540185702197692,Focal balanceada gamma=0,0.0,True,42
0.6399789309755669,0.7672483721700505,0.09460192858832572,26.402985074626866,2028,1096,4612,0.9306381080351867,0.7898295915607191,0.8171762151275271,383.81795859336853,0.6153782053905374,Focal balanceada gamma=0,0.0,True,43
0.45663840926211485,0.5824289551326302,0.07187852879809754,27.70149253731343,1882,1084,4758,0.6776473856724213,0.8547621194361731,0.8114487120985592,427.3188805580139,0.36879846628974466,Focal balanceada gamma=1,1.0,True,42
0.6889238402784544,0.8061239090535288,0.13461820103122935,27.223880597014926,2239,757,4401,0.9412898934394037,0.7875830252757432,0.8224893658311393,375.3569278717041,0.40739547066828785,Focal balanceada gamma=1,1.0,True,43
0.5812549248666201,0.7175062475777051,0.06025443699380145,33.57462686567164,1456,699,5184,0.8999473741855684,0.8055179875574731,0.8660750344856479,378.0289943218231,0.2700923698789933,Focal balanceada gamma=2,2.0,True,42
0.6936663879639846,0.8101744694051556,0.10681036025407005,29.440298507462686,1935,762,4705,0.9393317857247799,0.8169161181738887,0.816992641312496,381.5556230545044,0.29756704586393695,Focal balanceada gamma=2,2.0,True,43
0.5423597821025019,0.6864418630660959,0.03654152564502179,40.1044776119403,926,370,5714,0.8759975530331966,0.6744883238661928,0.9009068546462485,381.24861335754395,0.17670434932498372,Focal balanceada gamma=5,5.0,True,42
0.6484234640779447,0.7746998700518751,0.06757340795302105,34.41044776119403,1424,653,5216,0.9377081324247138,0.7068493974093056,0.8072317593189894,390.6664891242981,0.18705464505097447,Focal balanceada gamma=5,5.0,True,43
